cluster_id,cluster_size
Cluster 29461,4
Cluster 66292,4
Cluster 17081,4
Cluster 11730,4
Cluster 65165,4
Cluster 32145,4
Cluster 11534,4
Cluster 42548,4
Cluster 44049,4
Cluster 2948,4
Cluster 21426,4
Cluster 23251,4
Cluster 47300,4
Cluster 11556,4
Cluster 48258,4
Cluster 12911,4
Cluster 12910,4
Cluster 24432,4
Cluster 23249,4
Cluster 42655,4
Cluster 30409,4
Cluster 40380,4
Cluster 7300,4
Cluster 32151,4
Cluster 23243,4
Cluster 33277,4
Cluster 11717,4
Cluster 37346,4
Cluster 40142,4
Cluster 16338,4
Cluster 27428,4
Cluster 44506,4
Cluster 13307,4
Cluster 3430,4
Cluster 15992,4
Cluster 14532,4
Cluster 33771,4
Cluster 13620,4
Cluster 51479,4
Cluster 1301,4
Cluster 5633,4
Cluster 34677,4
Cluster 6999,4
Cluster 32841,4
Cluster 68802,4
Cluster 65760,4
Cluster 49254,4
Cluster 3223,4
Cluster 13283,4
Cluster 46297,4
Cluster 57763,4
Cluster 9853,4
Cluster 27666,4
Cluster 12779,4
Cluster 30859,4
Cluster 30300,4
Cluster 37903,4
Cluster 52474,4
Cluster 36068,4
Cluster 35103,4
Cluster 29832,4
Cluster 50502,4
Cluster 36253,4
Cluster 13333,4
Cluster 47147,4
Cluster 29389,4
Cluster 7640,4
Cluster 759,4
Cluster 36663,4
Cluster 13327,4
Cluster 19842,4
Cluster 49828,4
Cluster 48364,4
Cluster 39497,4
Cluster 51894,4
Cluster 36254,4
Cluster 45311,4
Cluster 17184,4
Cluster 43816,4
Cluster 4014,4
Cluster 69550,4
Cluster 60143,4
Cluster 46288,4
Cluster 30329,4
Cluster 43129,4
Cluster 11432,4
Cluster 2154,4
Cluster 16929,4
Cluster 24717,4
Cluster 45099,4
Cluster 783,4
Cluster 12929,4
Cluster 6878,4
Cluster 46294,4
Cluster 53893,4
Cluster 13223,4
Cluster 42642,4
Cluster 23208,4
Cluster 42685,4
Cluster 15216,4
Cluster 23308,4
Cluster 75246,4
Cluster 29007,4
Cluster 20024,4
Cluster 51828,4
Cluster 65181,4
Cluster 39446,4
Cluster 3841,4
Cluster 11398,4
Cluster 2312,4
Cluster 45294,4
Cluster 7841,4
Cluster 41451,4
Cluster 27660,4
Cluster 35116,4
Cluster 22852,4
Cluster 44065,4
Cluster 35117,4
Cluster 26786,4
Cluster 51871,4
Cluster 34151,4
Cluster 55296,4
Cluster 4379,4
Cluster 14711,4
Cluster 7459,4
Cluster 44601,4
Cluster 27446,4
Cluster 17145,4
Cluster 7838,4
Cluster 7228,4
Cluster 14708,4
Cluster 64854,4
Cluster 2951,4
Cluster 35121,4
Cluster 19897,4
Cluster 31745,4
Cluster 9284,4
Cluster 28521,4
Cluster 64672,4
Cluster 5107,4
Cluster 31619,4
Cluster 5754,4
Cluster 9278,4
Cluster 41615,4
Cluster 53231,4
Cluster 58939,4
Cluster 7191,4
Cluster 27922,4
Cluster 2647,4
Cluster 23842,4
Cluster 17453,4
Cluster 340,4
Cluster 60949,4
Cluster 5553,4
Cluster 1569,4
Cluster 42878,4
Cluster 33022,4
Cluster 28514,4
Cluster 30987,4
Cluster 25566,4
Cluster 28460,4
Cluster 10893,4
Cluster 30170,4
Cluster 4568,4
Cluster 9411,4
Cluster 25283,4
Cluster 21159,4
Cluster 61989,4
Cluster 51296,4
Cluster 31621,4
Cluster 22286,4
Cluster 21234,4
Cluster 17694,4
Cluster 26150,4
Cluster 46471,4
Cluster 65946,4
Cluster 49518,4
Cluster 28756,4
Cluster 14836,4
Cluster 45941,4
Cluster 38688,4
Cluster 8239,4
Cluster 12458,4
Cluster 38762,4
Cluster 67120,4
Cluster 27255,4
Cluster 23689,4
Cluster 56808,4
Cluster 2071,4
Cluster 8429,4
Cluster 7071,4
Cluster 22038,4
Cluster 4361,4
Cluster 43610,4
Cluster 2056,4
