cluster_id,cluster_size
Cluster 10577,5
Cluster 24739,5
Cluster 28850,5
Cluster 26063,5
Cluster 39387,5
Cluster 21411,5
Cluster 36040,5
Cluster 6872,5
Cluster 30283,5
Cluster 8260,5
Cluster 10445,5
Cluster 17483,5
Cluster 14912,5
Cluster 23957,5
Cluster 19526,5
Cluster 35522,5
Cluster 31223,4
Cluster 12178,4
Cluster 65847,4
Cluster 22907,4
Cluster 18084,4
Cluster 11454,4
Cluster 5455,4
Cluster 13625,4
Cluster 51731,4
Cluster 12441,4
Cluster 31264,4
Cluster 8981,4
Cluster 29273,4
Cluster 36972,4
Cluster 59777,4
Cluster 3466,4
Cluster 27519,4
Cluster 24605,4
Cluster 7546,4
Cluster 36985,4
Cluster 13660,4
Cluster 15198,4
Cluster 60499,4
Cluster 4112,4
Cluster 25158,4
Cluster 42942,4
Cluster 29887,4
Cluster 65845,4
Cluster 10137,4
Cluster 47491,4
Cluster 64609,4
Cluster 2778,4
Cluster 7064,4
Cluster 4040,4
Cluster 13588,4
Cluster 46874,4
Cluster 11382,4
Cluster 33309,4
Cluster 22817,4
Cluster 27703,4
Cluster 29341,4
Cluster 31050,4
Cluster 43728,4
Cluster 71560,4
Cluster 59799,4
Cluster 21279,4
Cluster 3477,4
Cluster 46868,4
Cluster 38979,4
Cluster 27742,4
Cluster 8051,4
Cluster 11416,4
Cluster 19152,4
Cluster 4566,4
Cluster 22898,4
Cluster 7451,4
Cluster 29306,4
Cluster 56,4
Cluster 18078,4
Cluster 10139,4
Cluster 66021,4
Cluster 24873,4
Cluster 59545,4
Cluster 18075,4
Cluster 41387,4
Cluster 21635,4
Cluster 33433,4
Cluster 49707,4
Cluster 13602,4
Cluster 64596,4
Cluster 12538,4
Cluster 63222,4
Cluster 29413,4
Cluster 29337,4
Cluster 61759,4
Cluster 64599,4
Cluster 27625,4
Cluster 20492,4
Cluster 64416,4
Cluster 11133,4
Cluster 11136,4
Cluster 32966,4
Cluster 37468,4
Cluster 37464,4
Cluster 23199,4
Cluster 66390,4
Cluster 18218,4
Cluster 21415,4
Cluster 31508,4
Cluster 3744,4
Cluster 50953,4
Cluster 2154,4
Cluster 27190,4
Cluster 51688,4
Cluster 39185,4
Cluster 17430,4
Cluster 27208,4
Cluster 27216,4
Cluster 13861,4
Cluster 4012,4
Cluster 10194,4
Cluster 2315,4
Cluster 2019,4
Cluster 19190,4
Cluster 21493,4
Cluster 20193,4
Cluster 23173,4
Cluster 6647,4
Cluster 52330,4
Cluster 31617,4
Cluster 44895,4
Cluster 25245,4
Cluster 29714,4
Cluster 8228,4
Cluster 11092,4
Cluster 2147,4
Cluster 29659,4
Cluster 18250,4
Cluster 40068,4
Cluster 4129,4
Cluster 61391,4
Cluster 27085,4
Cluster 31586,4
Cluster 21421,4
Cluster 7184,4
Cluster 4656,4
Cluster 4359,4
Cluster 31570,4
Cluster 9126,4
Cluster 31568,4
Cluster 23216,4
Cluster 23214,4
Cluster 67886,4
Cluster 37480,4
Cluster 23208,4
Cluster 9839,4
Cluster 20271,4
Cluster 27389,4
Cluster 37281,4
Cluster 27407,4
Cluster 76715,4
Cluster 31348,4
Cluster 48140,4
Cluster 29557,4
Cluster 16519,4
Cluster 23015,4
Cluster 11273,4
Cluster 12219,4
Cluster 55133,4
Cluster 43176,4
Cluster 50074,4
Cluster 34619,4
Cluster 2950,4
Cluster 48246,4
Cluster 27475,4
Cluster 41374,4
Cluster 61420,4
Cluster 16542,4
Cluster 64254,4
Cluster 63122,4
Cluster 49638,4
Cluster 8985,4
Cluster 15403,4
Cluster 2947,4
Cluster 8999,4
Cluster 29777,4
Cluster 23128,4
Cluster 42212,4
Cluster 23127,4
Cluster 1818,4
Cluster 31442,4
Cluster 5092,4
Cluster 2312,4
Cluster 35665,4
Cluster 21395,4
Cluster 12352,4
Cluster 12358,4
Cluster 66265,4
Cluster 16469,4
Cluster 32999,4
Cluster 29784,4
Cluster 20247,4
Cluster 18163,4
Cluster 29598,4
Cluster 18162,4
Cluster 41271,4
Cluster 27337,4
Cluster 73949,4
Cluster 17505,4
Cluster 3139,4
Cluster 13787,4
Cluster 32995,4
Cluster 2980,4
Cluster 74643,4
Cluster 32985,4
Cluster 3656,4
Cluster 28961,4
Cluster 28469,4
Cluster 28476,4
Cluster 36550,4
Cluster 30528,4
Cluster 22251,4
Cluster 50490,4
Cluster 47191,4
Cluster 43898,4
Cluster 848,4
Cluster 51754,4
Cluster 59941,4
Cluster 30494,4
Cluster 30937,4
Cluster 1301,4
Cluster 53841,4
Cluster 2220,4
Cluster 25003,4
Cluster 55440,4
Cluster 63800,4
Cluster 17161,4
Cluster 54863,4
Cluster 12762,4
Cluster 3315,4
Cluster 12968,4
Cluster 24999,4
Cluster 63818,4
Cluster 64989,4
Cluster 11970,4
Cluster 36604,4
Cluster 11700,4
Cluster 24647,4
Cluster 30629,4
Cluster 36599,4
Cluster 64904,4
Cluster 64920,4
Cluster 36191,4
Cluster 44511,4
Cluster 28415,4
Cluster 36192,4
Cluster 11713,4
Cluster 11714,4
Cluster 6538,4
Cluster 49058,4
Cluster 28427,4
Cluster 17657,4
Cluster 20796,4
Cluster 21897,4
Cluster 50519,4
Cluster 15513,4
Cluster 36580,4
Cluster 30586,4
Cluster 44342,4
Cluster 24651,4
Cluster 28984,4
Cluster 47159,4
Cluster 593,4
Cluster 17829,4
Cluster 21910,4
Cluster 35112,4
Cluster 11877,4
Cluster 21982,4
Cluster 1773,4
Cluster 30251,4
Cluster 7831,4
Cluster 44373,4
Cluster 45475,4
Cluster 43970,4
Cluster 783,4
Cluster 7787,4
Cluster 20990,4
Cluster 24679,4
Cluster 49937,4
Cluster 21988,4
Cluster 55550,4
Cluster 30319,4
Cluster 17720,4
Cluster 7828,4
Cluster 5549,4
Cluster 8525,4
Cluster 17122,4
Cluster 11931,4
Cluster 2886,4
Cluster 28842,4
Cluster 22003,4
Cluster 36278,4
Cluster 6392,4
Cluster 30280,4
Cluster 11911,4
Cluster 43960,4
Cluster 43951,4
Cluster 44416,4
Cluster 12926,4
Cluster 17058,4
Cluster 28710,4
Cluster 24991,4
Cluster 17064,4
Cluster 38891,4
Cluster 12912,4
Cluster 51767,4
Cluster 35262,4
Cluster 50366,4
Cluster 63866,4
Cluster 17073,4
Cluster 12901,4
Cluster 47894,4
Cluster 43931,4
Cluster 55513,4
Cluster 30360,4
Cluster 12897,4
Cluster 36350,4
Cluster 12894,4
Cluster 40948,4
Cluster 12893,4
Cluster 70330,4
Cluster 50374,4
Cluster 20977,4
Cluster 28759,4
Cluster 43976,4
Cluster 65015,4
Cluster 38897,4
Cluster 15486,4
Cluster 11518,4
Cluster 30926,4
Cluster 22655,4
Cluster 882,4
Cluster 36888,4
Cluster 13368,4
Cluster 8816,4
Cluster 73520,4
Cluster 15539,4
Cluster 19002,4
Cluster 57205,4
Cluster 11540,4
Cluster 65677,4
Cluster 55841,4
Cluster 16906,4
Cluster 30861,4
Cluster 54693,4
Cluster 21204,4
Cluster 22587,4
Cluster 22584,4
Cluster 43144,4
Cluster 30854,4
Cluster 2806,4
Cluster 16779,4
Cluster 438,4
Cluster 6992,4
Cluster 45638,4
Cluster 13316,4
Cluster 65636,4
Cluster 13310,4
Cluster 30871,4
Cluster 33220,4
Cluster 31014,4
Cluster 7559,4
Cluster 20520,4
Cluster 46915,4
Cluster 27881,4
Cluster 36006,4
Cluster 46919,4
Cluster 22704,4
Cluster 21736,4
Cluster 17585,4
Cluster 10001,4
Cluster 6982,4
Cluster 34845,4
Cluster 55884,4
Cluster 13418,4
Cluster 50696,4
Cluster 4377,4
Cluster 7695,4
Cluster 2056,4
Cluster 50692,4
Cluster 12092,4
Cluster 63399,4
Cluster 16723,4
Cluster 5253,4
Cluster 17285,4
Cluster 29230,4
Cluster 22664,4
Cluster 24890,4
Cluster 58749,4
Cluster 54649,4
Cluster 60217,4
Cluster 61466,4
Cluster 3340,4
Cluster 2071,4
Cluster 13206,4
Cluster 4556,4
Cluster 22430,4
Cluster 65492,4
Cluster 36104,4
Cluster 30109,4
Cluster 30112,4
Cluster 43045,4
Cluster 21129,4
Cluster 28293,4
Cluster 4056,4
Cluster 11658,4
Cluster 28296,4
Cluster 30122,4
Cluster 20738,4
Cluster 35056,4
Cluster 59348,4
Cluster 48020,4
Cluster 35057,4
Cluster 53737,4
Cluster 35061,4
Cluster 13170,4
Cluster 41538,4
Cluster 3664,4
Cluster 1315,4
Cluster 36625,4
Cluster 22409,4
Cluster 52828,4
Cluster 38946,4
Cluster 17259,4
Cluster 30810,4
Cluster 65612,4
Cluster 17608,4
Cluster 16800,4
Cluster 10036,4
Cluster 13290,4
Cluster 16801,4
Cluster 28137,4
Cluster 8771,4
Cluster 40571,4
Cluster 4305,4
Cluster 35016,4
Cluster 33322,4
Cluster 13266,4
Cluster 3321,4
Cluster 47040,4
Cluster 4806,4
Cluster 41870,4
Cluster 17903,4
Cluster 8417,4
Cluster 6826,4
Cluster 24630,4
Cluster 70514,4
Cluster 4980,4
Cluster 7950,4
Cluster 21802,4
Cluster 11622,4
Cluster 5697,4
Cluster 39805,4
Cluster 14123,4
Cluster 53426,4
Cluster 14818,4
Cluster 58142,4
Cluster 68521,4
Cluster 19384,4
Cluster 23421,4
Cluster 1870,4
Cluster 5143,4
Cluster 45840,4
Cluster 38622,4
Cluster 33773,4
Cluster 45214,4
Cluster 7611,4
Cluster 42796,4
Cluster 26163,4
Cluster 23943,4
Cluster 38621,4
Cluster 26169,4
Cluster 66757,4
Cluster 61128,4
Cluster 56301,4
Cluster 32092,4
Cluster 6891,4
Cluster 19995,4
Cluster 39798,4
Cluster 49416,4
Cluster 14317,4
Cluster 4352,4
Cluster 6871,4
Cluster 4867,4
Cluster 5358,4
Cluster 5628,4
Cluster 18705,4
Cluster 4234,4
Cluster 23648,4
Cluster 15892,4
Cluster 6249,4
Cluster 74952,4
Cluster 43524,4
Cluster 67780,4
Cluster 26051,4
Cluster 52074,4
Cluster 45350,4
Cluster 19613,4
Cluster 19376,4
Cluster 759,4
Cluster 3839,4
Cluster 45003,4
Cluster 15649,4
Cluster 23509,4
Cluster 57581,4
Cluster 9398,4
Cluster 32098,4
Cluster 23409,4
Cluster 34093,4
Cluster 34358,4
Cluster 9668,4
Cluster 19814,4
Cluster 23707,4
Cluster 56282,4
Cluster 33975,4
Cluster 7481,4
Cluster 39959,4
Cluster 38077,4
Cluster 69268,4
Cluster 32897,4
Cluster 19287,4
Cluster 52111,4
Cluster 33943,4
Cluster 4844,4
Cluster 49398,4
Cluster 49399,4
Cluster 32338,4
Cluster 15865,4
Cluster 60783,4
Cluster 26747,4
Cluster 19797,4
Cluster 54322,4
Cluster 23472,4
Cluster 23654,4
Cluster 19765,4
Cluster 10924,4
Cluster 3429,4
Cluster 43292,4
Cluster 9265,4
Cluster 49469,4
Cluster 460,4
Cluster 38153,4
Cluster 5144,4
Cluster 10472,4
Cluster 66886,4
Cluster 7597,4
Cluster 9271,4
Cluster 34144,4
Cluster 24395,4
Cluster 25893,4
Cluster 25881,4
Cluster 32350,4
Cluster 10951,4
Cluster 19971,4
Cluster 33785,4
Cluster 74842,4
Cluster 62696,4
Cluster 43427,4
Cluster 49161,4
Cluster 34271,4
Cluster 2646,4
Cluster 19448,4
Cluster 33573,4
Cluster 43425,4
Cluster 15028,4
Cluster 16255,4
Cluster 14376,4
Cluster 51343,4
Cluster 18466,4
Cluster 2366,4
Cluster 38529,4
Cluster 9639,4
Cluster 49134,4
Cluster 14599,4
Cluster 7313,4
Cluster 26103,4
Cluster 15972,4
Cluster 1569,4
Cluster 7296,4
Cluster 267,4
Cluster 51223,4
Cluster 32568,4
Cluster 26112,4
Cluster 26698,4
Cluster 1437,4
Cluster 19421,4
Cluster 38695,4
Cluster 58220,4
Cluster 14690,4
Cluster 25447,4
Cluster 14693,4
Cluster 25631,4
Cluster 6885,4
Cluster 7524,4
Cluster 1087,4
Cluster 33713,4
Cluster 42467,4
Cluster 9773,4
Cluster 11045,4
