C,gamma,w_pos,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,MCC_mean,MCC_std,ACC_mean,ACC_std
0.01,0.0012589254117941662,1.0,0.8441679802245563,0.014251586247893055,0.7559987052971069,0.014184980905664057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0012589254117941662,1.5,0.8340261173407116,0.01659035777954768,0.7462143281235086,0.018031623863302752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0012589254117941662,2.0,0.8149679175774942,0.01535839252692555,0.7256526034685968,0.02117811648068167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0012589254117941662,2.5,0.7602171743456233,0.01427485804284285,0.657787940689909,0.031037845549310744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0012589254117941662,3.0,0.7280378909359506,0.014546181217175456,0.6066336555217926,0.035796321730860746,0.4836368527388256,0.012612349229736726,0.3634784538805801,0.011896165557956686,0.7227468180254558,0.013890333229477811,0.26029550166154564,0.022363073140296643,0.6139813381492948,0.015137846675919657
0.01,0.0012589254117941662,4.0,0.7669647311752821,0.0134552583251489,0.6575812171656731,0.03234648423331614,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.01,0.0023713737056616554,1.0,0.8116577520653541,0.011981259635106345,0.7279240189231728,0.015074978386489551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0023713737056616554,1.5,0.7997238224937911,0.011448623516421702,0.712892351428936,0.01866718243599448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0023713737056616554,2.0,0.7664040506188735,0.014351804282504436,0.6681718386970248,0.03165985703657973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0023713737056616554,2.5,0.7334971410183999,0.01438633418300548,0.6171927536246045,0.03533426808488515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0023713737056616554,3.0,0.7195085404831036,0.015012580012485194,0.592780287453742,0.03673597518419091,0.4923535687635658,0.056828589947381304,0.7024476517754145,0.02421704856958249,0.3811919504643963,0.06204092680664977,0.41371706166848476,0.049439320808024156,0.8052137082903336,0.012428514826897897
0.01,0.0023713737056616554,4.0,0.7572124724286462,0.014101737708172418,0.6459175266529182,0.034596454356673106,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.01,0.0044668359215096305,1.0,0.7697792485499239,0.009801560799344716,0.674368171536593,0.023120597676245976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0044668359215096305,1.5,0.7591700610435365,0.012188019523440976,0.6565354136447004,0.029617896227791766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0044668359215096305,2.0,0.7396370597295743,0.014048994735305501,0.6255194425646472,0.03631312618923416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0044668359215096305,2.5,0.7262555333767857,0.01441877138735993,0.6022947137147505,0.0365878009237678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.0044668359215096305,3.0,0.719129247191054,0.014471683564241477,0.5903891074067356,0.036974855352777544,0.33304916690590874,0.05928734606648054,0.942003968253968,0.025491553556444686,0.2037753697970416,0.042495300649309314,0.38000615423533574,0.04174878793661682,0.7976565187478502,0.009394312880382484
0.01,0.0044668359215096305,4.0,0.7661950724632708,0.013409173149537348,0.6524061764329053,0.033958538131668645,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.01,0.008413951416451947,1.0,0.7611525710678158,0.012236657644955776,0.6312618351315861,0.03214205571970141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.008413951416451947,1.5,0.761529227912949,0.012247316341491772,0.629979548207375,0.03179925325327113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.008413951416451947,2.0,0.7601502016787902,0.012294720518665612,0.6283781796277222,0.03164073392082491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.008413951416451947,2.5,0.7580384408567318,0.012450209444574619,0.6256044204175105,0.032740253298870876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.008413951416451947,3.0,0.7536967029470163,0.01355384681923715,0.6202873410765942,0.03335039922380853,0.16583889202711372,0.061187383107549294,0.9323564593301435,0.049496098686358646,0.09204506363949089,0.03672475988057472,0.24675971990506715,0.0555551093662964,0.7713686790505675,0.008724482118854798
0.01,0.008413951416451947,4.0,0.7803975247320255,0.012746317976509743,0.6456922791324202,0.03286070566933745,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.01,0.015848931924611124,1.0,0.7916383037686416,0.011727279387962534,0.6284553310114843,0.03780558264993712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.015848931924611124,1.5,0.7918027634623093,0.01045029679599251,0.6299544415297372,0.03641334494249729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.015848931924611124,2.0,0.7912811453642987,0.00963979121045901,0.630241372407432,0.03572883329103365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.015848931924611124,2.5,0.7914143485212397,0.009674554653444545,0.6300882900187978,0.03559342376774617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.015848931924611124,3.0,0.7915235511176913,0.011471738587115128,0.6332401164099524,0.03717630699772571,0.010406586877175114,0.005817575027694738,0.6,0.4183300132670378,0.0052545579635362915,0.002937446210912448,0.0413417723359351,0.029609256702841227,0.750655744754042,0.0008979235280255353
0.01,0.015848931924611124,4.0,0.792255435117567,0.010025549267927389,0.6314247805887327,0.03723716715743935,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
0.01,0.02985382618917957,1.0,0.719868538043153,0.010446624231562084,0.48640541796467646,0.04100076013553851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.02985382618917957,1.5,0.7266625871722988,0.009030736318035653,0.49442091175595076,0.04030040871816724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.02985382618917957,2.0,0.7308261757962811,0.008608429602589939,0.5001142451645186,0.03979977464762319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.01,0.02985382618917957,2.5,0.7332407171108988,0.008199732323276922,0.5035526698957452,0.03758823116294246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
