cluster_id,total_selected,folds_covered
Cluster 13901,1,1
Cluster 1391,1,1
Cluster 13921,1,1
Cluster 13925,1,1
Cluster 13932,1,1
Cluster 1394,1,1
Cluster 13941,1,1
Cluster 13944,1,1
Cluster 13947,1,1
Cluster 13948,1,1
Cluster 13952,1,1
Cluster 13955,1,1
Cluster 13961,1,1
Cluster 13964,1,1
Cluster 13977,1,1
Cluster 13984,1,1
Cluster 14005,1,1
Cluster 14011,1,1
Cluster 14012,1,1
Cluster 14023,1,1
Cluster 14024,1,1
Cluster 14026,1,1
Cluster 14035,1,1
Cluster 1404,1,1
Cluster 14052,1,1
Cluster 14056,1,1
Cluster 14062,1,1
Cluster 14067,1,1
Cluster 14068,1,1
Cluster 14083,1,1
Cluster 14084,1,1
Cluster 14086,1,1
Cluster 14094,1,1
Cluster 1410,1,1
Cluster 14109,1,1
Cluster 14111,1,1
Cluster 14115,1,1
Cluster 14118,1,1
Cluster 14127,1,1
Cluster 14132,1,1
Cluster 14133,1,1
Cluster 14145,1,1
Cluster 14155,1,1
Cluster 14157,1,1
Cluster 14168,1,1
Cluster 14169,1,1
Cluster 14170,1,1
Cluster 14174,1,1
Cluster 14180,1,1
Cluster 14181,1,1
Cluster 14188,1,1
Cluster 14198,1,1
Cluster 142,1,1
Cluster 14200,1,1
Cluster 14222,1,1
Cluster 14224,1,1
Cluster 1423,1,1
Cluster 14234,1,1
Cluster 14253,1,1
Cluster 14267,1,1
Cluster 14269,1,1
Cluster 1427,1,1
Cluster 14275,1,1
Cluster 14280,1,1
Cluster 1429,1,1
Cluster 14292,1,1
Cluster 14305,1,1
Cluster 14306,1,1
Cluster 14309,1,1
Cluster 14310,1,1
Cluster 14317,1,1
Cluster 1432,1,1
Cluster 1433,1,1
Cluster 14333,1,1
Cluster 14336,1,1
Cluster 14340,1,1
Cluster 14343,1,1
Cluster 14346,1,1
Cluster 14360,1,1
Cluster 14363,1,1
Cluster 14365,1,1
Cluster 1437,1,1
Cluster 14371,1,1
Cluster 14380,1,1
Cluster 14396,1,1
Cluster 14401,1,1
Cluster 14402,1,1
Cluster 14406,1,1
Cluster 14410,1,1
Cluster 14412,1,1
Cluster 14417,1,1
Cluster 14419,1,1
Cluster 14421,1,1
Cluster 14423,1,1
Cluster 14433,1,1
Cluster 14437,1,1
Cluster 14440,1,1
Cluster 14445,1,1
Cluster 14448,1,1
Cluster 14455,1,1
Cluster 14463,1,1
Cluster 14467,1,1
Cluster 14468,1,1
Cluster 14495,1,1
Cluster 14499,1,1
Cluster 1450,1,1
Cluster 14502,1,1
Cluster 14505,1,1
Cluster 14523,1,1
Cluster 14526,1,1
Cluster 1453,1,1
Cluster 14530,1,1
Cluster 14531,1,1
Cluster 14541,1,1
Cluster 14543,1,1
Cluster 14546,1,1
Cluster 14556,1,1
Cluster 14565,1,1
Cluster 14582,1,1
Cluster 14584,1,1
Cluster 14586,1,1
Cluster 14597,1,1
Cluster 146,1,1
Cluster 14606,1,1
Cluster 1461,1,1
Cluster 14612,1,1
Cluster 14637,1,1
Cluster 14644,1,1
Cluster 14645,1,1
Cluster 14648,1,1
Cluster 14650,1,1
Cluster 14651,1,1
Cluster 14656,1,1
Cluster 14666,1,1
Cluster 14668,1,1
Cluster 14676,1,1
Cluster 14680,1,1
Cluster 14691,1,1
Cluster 14694,1,1
Cluster 14697,1,1
Cluster 14699,1,1
Cluster 14702,1,1
Cluster 14704,1,1
Cluster 14706,1,1
Cluster 14708,1,1
Cluster 14714,1,1
Cluster 14717,1,1
Cluster 14727,1,1
Cluster 14729,1,1
Cluster 14742,1,1
Cluster 14744,1,1
Cluster 14750,1,1
Cluster 14759,1,1
Cluster 14760,1,1
Cluster 14765,1,1
Cluster 14767,1,1
Cluster 14772,1,1
Cluster 14781,1,1
Cluster 1480,1,1
Cluster 14801,1,1
Cluster 14810,1,1
Cluster 14819,1,1
Cluster 14820,1,1
Cluster 14828,1,1
Cluster 14841,1,1
Cluster 14853,1,1
Cluster 14856,1,1
Cluster 14870,1,1
Cluster 14875,1,1
Cluster 14882,1,1
Cluster 14885,1,1
Cluster 14892,1,1
Cluster 14900,1,1
Cluster 14902,1,1
Cluster 14909,1,1
Cluster 14914,1,1
Cluster 14919,1,1
Cluster 14921,1,1
Cluster 14922,1,1
Cluster 14926,1,1
Cluster 14932,1,1
Cluster 14937,1,1
Cluster 1496,1,1
Cluster 14960,1,1
Cluster 14962,1,1
Cluster 14966,1,1
Cluster 14968,1,1
Cluster 1497,1,1
Cluster 14977,1,1
Cluster 1498,1,1
Cluster 14980,1,1
Cluster 14982,1,1
Cluster 14986,1,1
Cluster 14990,1,1
Cluster 14994,1,1
Cluster 15004,1,1
Cluster 15012,1,1
Cluster 15017,1,1
Cluster 15021,1,1
